,evaporation,rainfall
2009-07-08 09:00:00,0.64,1.524
2009-07-08 10:00:00,0.64,1.41
2009-07-08 11:00:00,0.64,1.362
2009-07-08 12:00:00,0.64,1.292
2009-07-08 13:00:00,0.64,1.191
2009-07-08 14:00:00,0.64,0.529
2009-07-08 15:00:00,0.64,0.501
2009-07-08 16:00:00,0.64,0.944
2009-07-08 17:00:00,0.64,1.81
2009-07-08 18:00:00,0.64,2.899
2009-07-08 19:00:00,0.64,0.859
2009-07-08 20:00:00,0.64,0.126
2009-07-08 21:00:00,0.64,0.087
2009-07-08 22:00:00,0.63,0.047
2009-07-08 23:00:00,0.63,0.0
2009-07-09 00:00:00,0.62,0.0
2009-07-09 01:00:00,0.62,0.0
2009-07-09 02:00:00,0.61,0.0
2009-07-09 03:00:00,0.6,0.011
2009-07-09 04:00:00,0.59,0.028
2009-07-09 05:00:00,0.59,0.028
2009-07-09 06:00:00,0.58,0.028
2009-07-09 07:00:00,0.58,0.028
2009-07-09 08:00:00,0.58,0.017
2009-07-09 09:00:00,0.58,0.0
2009-07-09 10:00:00,0.58,0.0
2009-07-09 11:00:00,0.58,0.0
2009-07-09 12:00:00,0.58,0.0
2009-07-09 13:00:00,0.58,0.0
2009-07-09 14:00:00,0.58,0.0
2009-07-09 15:00:00,0.58,0.0
2009-07-09 16:00:00,0.58,0.0
2009-07-09 17:00:00,0.58,0.0
